fuel_type_code,station_name,street_address,city,state_abbr,zip,status_code,groups_with_access_code,access_days_time,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude,ev_pricing,county,geoid
ELEC,SYCUAN CASINO SYCUAN 2,5469 Casino Way,El Cajon,CA,92019,E,Public,24 hours daily,,2,,32.786521,-116.83013,,San Diego,06073
ELEC,HCP SD GATEWAY MEDICAL,15725 Pomerado Road,Poway,CA,92064,E,Public,24 hours daily,,2,,32.999687,-117.057071,,San Diego,06073
ELEC,TOWNOFROSS POPARKING-2,1 Ross Common,Ross,CA,94957,E,Public,24 hours daily,,2,,37.961257,-122.555799,,Marin,06041
ELEC,TOWNOFROSS POPARKING-1,1 Ross Common,Ross,CA,94957,E,Public,24 hours daily,,1,,37.961305,-122.555857,,Marin,06041
ELEC,RIO HONDO POLICE ACADEMY,Workman Mill Rd,Whittier,CA,90601,E,Public,24 hours daily,,2,,34.022642,-118.031488,,Los Angeles,06037
ELEC,Antelope Valley Mall - South Parking,1301 Rancho Vista Boulevard,Palmdale,CA,93551,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,34.603272,-118.153064,Level 2: $0.59 per kWh,Los Angeles,06037
ELEC,Antelope Valley Mall - North Parking,1247 W Avenue P,Palmdale,CA,93551,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,34.605389,-118.151567,Level 2: $0.59 per kWh,Los Angeles,06037
ELEC,CITY ADMIN CITY ADMIN 4,201-291 N Tipton St,Visalia,CA,93292,E,Public,24 hours daily,,1,,36.331636,-119.286821,,Tulare,06107
ELEC,2834 SM STATION 9,2834 Colorado Ave,Santa Monica,CA,90404,E,Public,24 hours daily,,2,,34.032499,-118.468297,,Los Angeles,06037
ELEC,HOLLYWOOD PARK MU1 STATION 11,1213 S. District Dr.,Inglewood,CA,90301,E,Public,24 hours daily,,2,,33.947407,-118.343094,,Los Angeles,06037
